timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600078526354,2723,home page,200,"Number of samples in transaction : 7, number of failing samples : 0",blaze demo 1-1,,true,,36151,2634,5,5,null,0,84,498
1600078526356,691,/-5,200,OK,blaze demo 1-1,text,true,,1479,684,4,4,https://blazedemo.com/,248,0,9
1600078527049,600,/url/status-20,200,OK,blaze demo 1-1,text,true,,376,398,5,5,https://nimbus.bitdefender.net/url/status,600,0,489
1600078527650,356,/-21,200,OK,blaze demo 1-1,text,true,,1347,346,5,5,https://blazedemo.com/,349,0,0
1600078528006,237,/assets/bootstrap-table.css-25,200,OK,blaze demo 1-1,text,true,,1577,319,5,5,https://blazedemo.com/assets/bootstrap-table.css,231,0,0
1600078528243,272,/assets/bootstrap-table.js-23,200,OK,blaze demo 1-1,text,true,,8810,303,5,5,https://blazedemo.com/assets/bootstrap-table.js,246,0,0
1600078528516,338,/assets/bootstrap.min.css-24,200,OK,blaze demo 1-1,text,true,,22329,317,5,5,https://blazedemo.com/assets/bootstrap.min.css,248,0,0
1600078528932,229,/favicon.ico-28,200,OK,blaze demo 1-1,bin,true,,233,267,5,5,https://blazedemo.com/favicon.ico,229,0,0
1600078526555,2941,home page,200,"Number of samples in transaction : 7, number of failing samples : 0",blaze demo 1-2,,true,,36202,2634,5,5,null,0,68,329
1600078526555,667,/-5,200,OK,blaze demo 1-2,text,true,,1591,684,5,5,https://blazedemo.com/,237,0,5
1600078527223,433,/url/status-20,200,OK,blaze demo 1-2,text,true,,376,398,5,5,https://nimbus.bitdefender.net/url/status,433,0,324
1600078527657,508,/-21,200,OK,blaze demo 1-2,text,true,,1285,346,5,5,https://blazedemo.com/,508,0,0
1600078528165,245,/assets/bootstrap-table.css-25,200,OK,blaze demo 1-2,text,true,,1351,319,5,5,https://blazedemo.com/assets/bootstrap-table.css,243,0,0
1600078528410,430,/assets/bootstrap-table.js-23,200,OK,blaze demo 1-2,text,true,,9080,303,5,5,https://blazedemo.com/assets/bootstrap-table.js,411,0,0
1600078528840,298,/assets/bootstrap.min.css-24,200,OK,blaze demo 1-2,text,true,,22286,317,5,5,https://blazedemo.com/assets/bootstrap.min.css,245,0,0
1600078529204,360,/favicon.ico-28,200,OK,blaze demo 1-2,bin,true,,233,267,5,5,https://blazedemo.com/favicon.ico,360,0,0
1600078526952,2581,home page,200,"Number of samples in transaction : 7, number of failing samples : 0",blaze demo 1-4,,true,,36007,2634,5,5,null,0,41,334
1600078526953,662,/-5,200,OK,blaze demo 1-4,text,true,,1533,684,5,5,https://blazedemo.com/,240,0,5
1600078527616,439,/url/status-20,200,OK,blaze demo 1-4,text,true,,376,398,5,5,https://nimbus.bitdefender.net/url/status,439,0,329
1600078528055,385,/-21,200,OK,blaze demo 1-4,text,true,,1447,346,5,5,https://blazedemo.com/,381,0,0
1600078528441,236,/assets/bootstrap-table.css-25,200,OK,blaze demo 1-4,text,true,,1403,319,5,5,https://blazedemo.com/assets/bootstrap-table.css,231,0,0
1600078528678,280,/assets/bootstrap-table.js-23,200,OK,blaze demo 1-4,text,true,,9035,303,5,5,https://blazedemo.com/assets/bootstrap-table.js,254,0,0
1600078528958,347,/assets/bootstrap.min.css-24,200,OK,blaze demo 1-4,text,true,,21980,317,5,5,https://blazedemo.com/assets/bootstrap.min.css,254,0,0
1600078529342,232,/favicon.ico-28,200,OK,blaze demo 1-4,bin,true,,233,267,5,5,https://blazedemo.com/favicon.ico,232,0,0
1600078527155,2523,home page,200,"Number of samples in transaction : 7, number of failing samples : 0",blaze demo 1-5,,true,,35829,2634,5,5,null,0,82,333
1600078527155,663,/-5,200,OK,blaze demo 1-5,text,true,,1537,684,5,5,https://blazedemo.com/,237,0,4
1600078527819,440,/url/status-20,200,OK,blaze demo 1-5,text,true,,376,398,5,5,https://nimbus.bitdefender.net/url/status,440,0,329
1600078528260,347,/-21,200,OK,blaze demo 1-5,text,true,,1327,346,5,5,https://blazedemo.com/,342,0,0
1600078528608,235,/assets/bootstrap-table.css-25,200,OK,blaze demo 1-5,text,true,,1364,319,5,5,https://blazedemo.com/assets/bootstrap-table.css,231,0,0
